,open,high,low,close,volume,timestamp
42188,166.03,166.03,165.95,165.95,66439.0,2018-02-14 13:05:00
42189,165.96,166.04,165.96,166.02,52818.0,2018-02-14 13:06:00
42190,166.01,166.0499,165.95,166.04,28617.0,2018-02-14 13:07:00
42191,166.05,166.1,166.045,166.0501,75727.0,2018-02-14 13:08:00
42192,166.0501,166.08,166.02,166.05,51193.0,2018-02-14 13:09:00
42193,166.05,166.1,166.005,166.005,71749.0,2018-02-14 13:10:00
42194,166.0061,166.03,165.91,165.95,92542.0,2018-02-14 13:11:00
42195,165.96,166.12,165.95,166.11,56837.0,2018-02-14 13:12:00
42196,166.1088,166.12,166.05,166.1,48277.0,2018-02-14 13:13:00
42197,166.08,166.15,166.08,166.1,43527.0,2018-02-14 13:14:00
42198,166.1,166.16,166.01,166.0699,104575.0,2018-02-14 13:15:00
42199,166.06,166.07,165.87,165.9924,80304.0,2018-02-14 13:16:00
42200,165.99,166.05,165.95,165.99,33023.0,2018-02-14 13:17:00
42201,165.9709,165.9899,165.86,165.88,45523.0,2018-02-14 13:18:00
42202,165.88,165.89,165.78,165.8,58113.0,2018-02-14 13:19:00
42203,165.7988,165.84,165.71,165.74,64431.0,2018-02-14 13:20:00
42204,165.745,165.83,165.745,165.81,30427.0,2018-02-14 13:21:00
42205,165.8,165.92,165.8,165.86,32609.0,2018-02-14 13:22:00
42206,165.86,165.9622,165.86,165.95,46282.0,2018-02-14 13:23:00
42207,165.95,166.0,165.87,165.94,41851.0,2018-02-14 13:24:00
42208,165.94,165.95,165.85,165.89,46223.0,2018-02-14 13:25:00
42209,165.89,165.9236,165.79,165.89,39736.0,2018-02-14 13:26:00
42210,165.89,165.9,165.82,165.84,45966.0,2018-02-14 13:27:00
42211,165.835,165.9119,165.81,165.84,32235.0,2018-02-14 13:28:00
42212,165.85,165.89,165.79,165.81,43884.0,2018-02-14 13:29:00
42213,165.82,165.82,165.645,165.695,81079.0,2018-02-14 13:30:00
42214,165.71,165.87099999999995,165.71,165.84,43854.0,2018-02-14 13:31:00
42215,165.845,166.0,165.84,165.9461,61918.0,2018-02-14 13:32:00
42216,165.94,165.95,165.8,165.83,33323.0,2018-02-14 13:33:00
42217,165.8321,165.98,165.8,165.85,63745.0,2018-02-14 13:34:00
42218,165.8589,165.98,165.83,165.95,27859.0,2018-02-14 13:35:00
42219,165.95,165.98,165.87,165.9266,35392.0,2018-02-14 13:36:00
42220,165.9248,165.93,165.7961,165.83,40901.0,2018-02-14 13:37:00
42221,165.82,165.86,165.76,165.86,40002.0,2018-02-14 13:38:00
42222,165.86,166.0,165.86,165.99,58758.0,2018-02-14 13:39:00
42223,165.99,166.05,165.94,166.01,44225.0,2018-02-14 13:40:00
42224,166.0,166.02,165.91,165.93,27381.0,2018-02-14 13:41:00
42225,165.9101,166.0,165.9,165.995,28381.0,2018-02-14 13:42:00
42226,165.99,166.02,165.95,165.95,20998.0,2018-02-14 13:43:00
42227,165.95,166.02,165.95,166.01,54661.0,2018-02-14 13:44:00
42228,166.01,166.055,165.99,166.04,41039.0,2018-02-14 13:45:00
42229,166.0336,166.1,165.98,166.0601,68345.0,2018-02-14 13:46:00
42230,166.07,166.17,165.92,165.935,98782.0,2018-02-14 13:47:00
42231,165.94,166.02,165.93,165.93,54148.0,2018-02-14 13:48:00
42232,165.9393,166.025,165.915,165.9878,37028.0,2018-02-14 13:49:00
42233,165.98,166.04,165.94,166.0061,37496.0,2018-02-14 13:50:00
42234,166.0,166.04,165.95,165.97,34902.0,2018-02-14 13:51:00
42235,165.9748,166.01,165.87,165.93,52509.0,2018-02-14 13:52:00
42236,165.93,166.04,165.86,165.915,78286.0,2018-02-14 13:53:00
42237,165.92,166.0,165.9046,165.98,41241.0,2018-02-14 13:54:00
42238,165.9856,166.14,165.985,166.09,68936.0,2018-02-14 13:55:00
